event,gender,ageGroup,minutes,seconds,decimals
200 MTS BACK,Femenino,55-59,02,25,3
50 MTS BRST,Femenino,55-59,00,35,15
100 MTS BRST,Femenino,55-59,01,17,4
200 MTS BRST,Femenino,55-59,02,46,9
50  MTS FLY,Femenino,55-59,00,29,39
100 MTS FLY,Femenino,55-59,01,07,6
200 MTS FLY,Femenino,55-59,02,31,1
100 MTS IM,Femenino,55-59,01,09,1
200 MTS IM,Femenino,55-59,02,27,8
400 MTS IM,Femenino,55-59,05,15,7
50 MTS FREE,Femenino,60-64,00,28,5
100 MTS FREE,Femenino,60-64,01,02,6
200 MTS FREE,Femenino,60-64,02,13,7
400 MTS FREE,Femenino,60-64,04,42,6
800 MTS FREE,Femenino,60-64,09,55,6
1500 MTS FREE,Femenino,60-64,18,47,2
50 MTS BACK,Femenino,60-64,00,31,55
100 MTS BACK,Femenino,60-64,01,07,8
200 MTS BACK,Femenino,60-64,02,25,6
50 MTS BRST,Femenino,60-64,00,36,79
100 MTS BRST,Femenino,60-64,01,20,5
200 MTS BRST,Femenino,60-64,02,51,2
50  MTS FLY,Femenino,60-64,00,31,24
100 MTS FLY,Femenino,60-64,01,07,8
200 MTS FLY,Femenino,60-64,02,41,3
100 MTS IM,Femenino,60-64,01,09,1
200 MTS IM,Femenino,60-64,02,28,6
400 MTS IM,Femenino,60-64,05,23,3
50 MTS FREE,Femenino,65-69,00,29,3
100 MTS FREE,Femenino,65-69,01,04,4
200 MTS FREE,Femenino,65-69,02,23,3
400 MTS FREE,Femenino,65-69,05,02,1
800 MTS FREE,Femenino,65-69,10,34,7
1500 MTS FREE,Femenino,65-69,20,05,7
50 MTS BACK,Femenino,65-69,00,33,41
100 MTS BACK,Femenino,65-69,01,13,1
200 MTS BACK,Femenino,65-69,02,42,9
50 MTS BRST,Femenino,65-69,00,38,9
100 MTS BRST,Femenino,65-69,01,28,0
200 MTS BRST,Femenino,65-69,03,08,0
50  MTS FLY,Femenino,65-69,00,32,57
100 MTS FLY,Femenino,65-69,01,13,5
200 MTS FLY,Femenino,65-69,02,45,2
100 MTS IM,Femenino,65-69,01,15,7
200 MTS IM,Femenino,65-69,02,46,0
400 MTS IM,Femenino,65-69,05,55,0
50 MTS FREE,Femenino,70-74,00,30,55
100 MTS FREE,Femenino,70-74,01,06,0
200 MTS FREE,Femenino,70-74,02,25,3
400 MTS FREE,Femenino,70-74,05,18,3
