event,gender,ageGroup,minutes,seconds,decimals
100 MTS FLY,Femenino,55-59,01,07,55
200 MTS FLY,Femenino,55-59,02,36,33
200 MTS IM,Femenino,55-59,02,31,51
400 MTS IM,Femenino,55-59,05,22,41
50 MTS FREE,Femenino,60-64,00,28,84
100 MTS FREE,Femenino,60-64,01,03,70
200 MTS FREE,Femenino,60-64,02,16,57
400 MTS FREE,Femenino,60-64,04,48,61
800 MTS FREE,Femenino,60-64,10,02,70
1500 MTS FREE,Femenino,60-64,19,10,60
50 MTS BACK,Femenino,60-64,00,32,68
100 MTS BACK,Femenino,60-64,01,10,22
200 MTS BACK,Femenino,60-64,02,30,58
50 MTS BRST,Femenino,60-64,00,37,43
100 MTS BRST,Femenino,60-64,01,22,80
200 MTS BRST,Femenino,60-64,03,00,11
50 MTS FLY,Femenino,60-64,00,29,9
100 MTS FLY,Femenino,60-64,01,08,24
200 MTS FLY,Femenino,60-64,02,41,03
200 MTS IM,Femenino,60-64,02,32,30
400 MTS IM,Femenino,60-64,05,30,07
50 MTS FREE,Femenino,65-69,00,29,1
100 MTS FREE,Femenino,65-69,01,04,89
200 MTS FREE,Femenino,65-69,02,25,29
400 MTS FREE,Femenino,65-69,05,12,80
800 MTS FREE,Femenino,65-69,10,49,60
1500 MTS FREE,Femenino,65-69,20,41,50
50 MTS BACK,Femenino,65-69,00,33,59
100 MTS BACK,Femenino,65-69,01,14,49
200 MTS BACK,Femenino,65-69,02,47,70
50 MTS BRST,Femenino,65-69,00,39,91
100 MTS BRST,Femenino,65-69,01,28,18
200 MTS BRST,Femenino,65-69,03,12,63
50 MTS FLY,Femenino,65-69,00,32,36
100 MTS FLY,Femenino,65-69,01,13,70
200 MTS FLY,Femenino,65-69,02,57,26
200 MTS IM,Femenino,65-69,02,51,52
400 MTS IM,Femenino,65-69,06,14,58
50 MTS FREE,Femenino,70-74,00,30,73
100 MTS FREE,Femenino,70-74,01,06,68
200 MTS FREE,Femenino,70-74,02,29,56
400 MTS FREE,Femenino,70-74,05,21,19
800 MTS FREE,Femenino,70-74,11,04,90
1500 MTS FREE,Femenino,70-74,21,02,80
50 MTS BACK,Femenino,70-74,00,34,65
100 MTS BACK,Femenino,70-74,01,16,27
200 MTS BACK,Femenino,70-74,02,49,43
50 MTS BRST,Femenino,70-74,00,41,67
100 MTS BRST,Femenino,70-74,01,35,93
200 MTS BRST,Femenino,70-74,03,29,25
50 MTS FLY,Femenino,70-74,00,34,43
100 MTS FLY,Femenino,70-74,01,16,07
200 MTS FLY,Femenino,70-74,03,12,76
200 MTS IM,Femenino,70-74,03,00,96
400 MTS IM,Femenino,70-74,06,38,63
50 MTS FREE,Femenino,75-79,00,34,11
100 MTS FREE,Femenino,75-79,01,17,38
200 MTS FREE,Femenino,75-79,02,54,26
400 MTS FREE,Femenino,75-79,06,12,25
800 MTS FREE,Femenino,75-79,12,58,90
1500 MTS FREE,Femenino,75-79,24,41,80
50 MTS BACK,Femenino,75-79,00,40,08
100 MTS BACK,Femenino,75-79,01,28,67
